stacjo_id,student_id,st_pyt1,st_pyt2,st_pyt3,st_pyt4,st_pyt5,st_pyt6,st_pyt7,st_pyt8,st_pyt9,st_pyt10,st_pyt11,st_pyt12,st_pyt13,st_pyt14,st_pyt15,st_pyt16,st_pyt17,st_pyt18,st_pyt19,st_pyt20,st_pyt21,st_pyt22
260,260,Nie ma to dla mnie znaczenia,2,2,4,4,3,5,5,5,3,4,3,4,4,4,5,5,5,4,4,2,4
261,261,Nie ma to dla mnie znaczenia,2,2,4,4,3,5,5,5,3,4,3,4,4,4,5,5,5,4,4,2,4
262,262,Tak,4,2,3,3,2,4,4,4,3,3,3,2,3,3,5,2,2,2,3,2,3
263,263,Nie ma to dla mnie znaczenia,2,2,3,3,4,4,3,4,4,2,4,4,4,3,5,4,5,5,4,2,3
264,264,Tak,3,2,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,5
265,265,Tak,4,2,4,3,4,5,5,4,4,5,5,5,3,3,4,5,5,5,5,1,3
266,266,Nie ma to dla mnie znaczenia,4,2,3,2,3,2,5,3,3,3,4,3,5,2,2,3,3,2,4,2,3
267,267,Nie,1,2,3,3,1,4,3,2,3,1,3,2,3,3,3,2,3,2,3,2,3
268,268,Nie,3,2,2,2,4,2,5,3,2,5,2,3,2,3,1,3,3,3,2,2,3
269,269,Tak,3,2,4,5,3,5,5,4,4,3,3,4,4,3,4,3,3,3,3,2,2
270,270,Tak,5,2,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,1,5
271,271,Nie,1,2,3,3,2,2,3,3,3,2,4,4,2,2,5,3,5,2,4,2,3
272,272,Tak,5,3,5,5,4,4,4,4,4,3,5,4,3,4,4,4,4,5,4,2,3
273,273,Tak,5,2,5,5,5,4,4,3,5,4,5,5,4,4,3,4,5,4,4,2,4
274,274,Nie,2,3,3,2,1,3,1,2,3,2,3,2,2,3,5,3,3,4,4,2,1
275,275,Nie,3,1,2,2,5,4,4,3,2,4,3,3,3,3,3,3,1,1,3,1,1
276,276,Nie ma to dla mnie znaczenia,2,2,5,5,3,5,5,5,3,3,3,4,3,3,5,4,5,5,5,2,4
277,277,Tak,3,4,5,5,5,5,5,5,5,3,5,5,3,2,3,5,5,5,5,1,5
278,278,Nie ma to dla mnie znaczenia,3,2,4,2,3,5,5,5,4,4,3,4,3,3,4,4,4,4,4,1,5
279,279,Tak,3,5,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,1,3
280,280,Nie,1,2,4,1,2,3,4,2,2,2,3,3,3,4,5,2,4,2,3,1,4
281,281,Nie ma to dla mnie znaczenia,3,2,2,4,4,2,3,3,3,3,3,3,3,1,4,3,3,3,3,2,4
282,282,Nie ma to dla mnie znaczenia,1,2,4,2,3,4,4,4,3,2,3,4,2,3,5,4,4,3,3,2,3
283,283,Nie ma to dla mnie znaczenia,3,4,4,4,2,4,5,5,2,4,3,4,3,3,5,3,4,2,4,2,3
284,284,Nie ma to dla mnie znaczenia,4,2,4,4,4,4,4,4,4,4,4,4,3,3,5,4,3,3,3,2,3
285,285,Tak,3,2,4,4,5,5,5,4,5,3,5,5,3,3,5,5,5,5,5,1,4
286,286,Tak,1,5,3,3,4,5,4,5,4,1,3,4,3,3,1,4,4,4,4,2,4
287,287,Nie,1,2,3,1,2,1,1,3,1,1,1,1,3,3,5,2,1,1,1,2,1
288,288,Tak,1,5,5,5,4,5,5,5,5,4,5,5,4,4,5,5,5,5,5,2,5
289,289,Nie ma to dla mnie znaczenia,5,2,3,4,2,2,4,4,4,5,3,3,3,4,5,3,4,3,3,2,3
290,290,Tak,3,2,4,4,3,4,5,4,4,3,3,3,3,3,4,3,3,4,3,2,3
291,291,Nie,4,2,2,3,2,2,3,3,3,2,2,2,3,3,3,2,2,2,3,2,2
292,292,Tak,3,5,5,3,4,5,5,5,5,3,5,5,4,4,5,5,5,5,5,1,4
293,293,Nie ma to dla mnie znaczenia,3,3,4,4,5,2,3,5,4,5,4,4,3,3,4,4,4,3,4,2,3
294,294,Nie,2,3,3,4,5,4,4,3,3,2,3,3,4,4,4,3,3,2,4,1,2
295,295,Tak,5,1,4,4,3,5,5,5,4,5,3,4,3,2,4,5,4,4,5,2,4
296,296,Nie ma to dla mnie znaczenia,3,4,3,3,4,3,3,4,5,3,4,4,3,3,4,4,5,4,4,2,3
297,297,Tak,4,3,5,3,3,5,4,2,4,3,4,4,4,4,5,4,5,5,4,1,4
298,298,Nie,2,2,4,2,4,1,3,4,2,3,4,2,4,2,5,2,4,4,4,1,1
299,299,Tak,4,3,5,4,3,4,4,5,5,5,5,4,4,4,5,4,4,4,4,2,4
300,300,Tak,2,4,3,4,2,5,4,5,3,3,3,4,4,1,5,2,4,3,4,2,4
301,301,Nie ma to dla mnie znaczenia,4,2,5,3,3,4,4,4,3,2,5,4,4,1,2,4,4,4,4,2,3
302,302,Tak,3,3,5,3,2,3,4,4,3,3,5,4,4,1,2,4,4,4,4,2,3
303,303,Nie ma to dla mnie znaczenia,1,2,3,2,2,4,4,1,3,1,4,3,4,4,2,3,3,1,3,2,3
304,304,Tak,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,4,5,1,5
305,305,Nie,5,2,3,2,4,2,2,3,2,3,1,2,3,3,4,3,4,4,3,2,1
306,306,Tak,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,1,4
307,307,Tak,5,2,4,5,4,4,4,4,4,5,5,5,3,4,4,4,5,4,4,2,4
308,308,Nie ma to dla mnie znaczenia,5,1,3,4,4,5,5,1,5,5,5,5,4,4,5,3,3,5,3,2,4
309,309,Nie,2,2,4,3,3,4,4,4,3,2,3,3,3,3,2,3,5,3,4,2,4
310,310,Tak,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5
311,311,Nie ma to dla mnie znaczenia,2,4,3,2,3,4,4,4,3,4,3,3,4,4,5,3,4,3,4,2,4
312,312,Nie ma to dla mnie znaczenia,2,2,4,4,3,4,5,5,4,3,4,4,5,5,2,4,5,3,4,1,4
313,313,Tak,3,3,4,4,4,3,3,4,3,4,4,4,3,3,3,4,4,4,4,1,3
314,314,Nie,3,3,4,4,5,5,5,1,3,4,3,4,5,2,5,4,4,3,4,2,4
315,315,Tak,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
316,316,Nie,1,2,3,2,2,4,4,3,2,2,2,1,4,3,5,2,3,4,4,2,3
317,317,Nie,5,2,3,3,3,5,4,5,3,2,2,2,3,2,5,3,4,4,4,2,3
318,318,Nie,1,2,4,4,2,4,4,4,3,1,3,3,5,3,5,3,4,4,3,2,3
319,319,Nie,1,2,3,1,1,3,2,2,3,1,1,1,4,4,3,3,4,3,4,2,2
320,320,Nie,1,1,3,2,5,5,1,4,3,1,2,2,2,5,4,3,3,2,4,2,1
321,321,Tak,2,2,5,5,5,4,5,5,5,2,5,5,5,5,5,5,5,5,5,1,5
322,322,Nie,5,1,3,1,1,1,1,5,1,5,1,2,3,1,1,1,3,2,3,2,3
323,323,Tak,3,2,3,3,4,5,5,1,5,1,3,4,4,4,1,5,4,4,4,2,3
324,324,Nie,2,4,2,4,3,3,2,3,2,2,3,3,3,1,3,3,2,3,3,2,1
325,325,Nie,2,3,4,2,3,4,4,2,2,2,3,2,5,5,4,3,4,4,3,2,3
326,326,Nie,3,4,3,2,2,5,5,5,2,2,3,2,1,1,5,4,4,1,4,2,2
327,327,Nie,5,2,4,4,3,2,5,2,3,5,4,4,4,3,5,3,3,2,4,2,3
328,328,Nie ma to dla mnie znaczenia,2,2,4,4,4,5,4,4,3,2,2,3,4,2,3,3,3,3,4,2,3
329,329,Tak,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
330,330,Tak,3,2,4,4,2,4,4,3,3,3,3,3,4,4,4,4,5,4,3,2,4
331,331,Tak,1,2,3,3,5,3,3,2,5,3,5,4,5,3,5,4,5,3,4,1,4
332,332,Tak,4,2,4,4,2,4,4,5,4,3,4,4,4,3,4,4,5,5,4,1,4
333,333,Tak,3,3,5,4,3,4,4,5,3,4,4,4,4,3,5,5,4,4,4,2,4
334,334,Tak,4,3,4,4,3,3,2,3,4,3,3,4,3,3,5,4,4,4,4,1,4
335,335,Nie,1,1,3,1,4,5,2,5,5,2,4,4,5,3,2,5,4,4,5,2,3
336,336,Tak,5,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4
337,337,Nie,4,3,4,4,3,4,4,4,4,5,4,4,3,4,5,4,4,4,4,2,4
338,338,Tak,2,2,4,4,3,3,3,3,4,2,4,4,4,4,3,4,3,3,3,1,4
339,339,Tak,3,2,4,4,4,5,5,1,4,2,5,4,4,4,3,4,4,5,5,1,4
340,340,Tak,4,2,5,3,3,4,5,5,5,5,5,5,5,5,5,5,4,5,5,2,5
341,341,Nie,2,2,3,3,2,2,4,3,3,3,4,3,2,2,4,3,3,2,4,2,4
342,342,Nie,1,2,3,2,2,3,3,3,3,2,1,2,3,3,3,2,3,2,3,2,2
343,343,Tak,4,3,5,3,3,3,4,2,4,2,5,4,2,2,2,4,5,5,4,2,4
344,344,Tak,3,2,5,3,3,5,4,5,5,4,5,4,5,5,4,4,4,4,4,2,4
345,345,Tak,4,3,4,5,4,5,5,5,5,5,5,5,5,2,5,4,5,4,4,1,4
346,346,Nie ma to dla mnie znaczenia,2,2,5,4,4,2,3,1,2,3,3,4,5,3,5,4,5,5,4,2,4
347,347,Tak,3,4,4,4,3,4,4,2,4,3,5,4,4,4,4,4,4,4,4,2,4
348,348,Nie ma to dla mnie znaczenia,3,3,5,3,3,5,4,5,3,5,3,4,4,2,2,4,5,4,4,2,5
349,349,Nie,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3
350,350,Tak,3,2,3,2,3,4,3,3,3,2,3,3,1,2,3,3,3,4,3,2,3
351,351,Nie ma to dla mnie znaczenia,3,2,3,3,3,4,5,4,3,4,4,4,3,3,3,4,3,4,4,2,3
352,352,Nie ma to dla mnie znaczenia,1,2,2,2,2,3,3,4,2,1,1,1,1,1,2,2,2,1,1,2,2
353,353,Tak,3,2,5,4,4,5,5,5,5,4,5,5,3,5,5,5,4,4,4,2,5
354,354,Nie ma to dla mnie znaczenia,3,2,4,4,2,4,4,4,3,3,3,4,5,4,5,4,4,3,4,2,3
355,355,Tak,5,2,4,3,3,4,4,1,5,4,4,4,5,5,5,4,5,5,5,2,4
356,356,Tak,4,2,5,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,3
357,357,Nie,1,2,2,3,3,2,2,4,3,2,3,3,3,1,4,3,3,3,3,2,2
358,358,Nie ma to dla mnie znaczenia,3,3,4,3,2,4,3,3,3,4,4,4,3,5,5,4,3,4,3,2,3
359,359,Nie ma to dla mnie znaczenia,3,2,4,4,3,2,4,2,4,2,3,4,4,4,2,4,3,5,4,2,3
360,360,Tak,5,2,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,1,4
361,361,Tak,4,2,4,3,2,5,5,5,5,5,3,4,3,3,5,4,4,4,5,2,5
362,362,Tak,3,3,4,3,3,5,5,5,4,3,3,4,5,2,5,5,5,4,5,2,4
363,363,Nie,4,3,3,2,3,5,5,2,4,4,4,3,4,3,3,3,4,4,4,2,4
364,364,Tak,2,3,5,5,4,4,4,4,5,4,5,5,4,4,5,5,5,4,4,1,4
365,365,Nie,2,1,3,1,3,3,3,3,5,2,3,4,4,3,3,4,4,5,4,2,4
366,366,Tak,5,5,5,5,4,5,5,5,4,5,5,5,4,4,5,5,4,4,4,1,4
367,367,Nie ma to dla mnie znaczenia,2,2,3,1,3,2,3,2,3,3,3,3,1,1,5,3,3,4,2,2,3
368,368,Nie ma to dla mnie znaczenia,4,2,3,4,2,5,5,5,5,5,4,4,4,4,5,4,3,4,4,2,3
369,369,Nie ma to dla mnie znaczenia,2,1,3,4,4,4,5,2,3,3,3,3,4,3,2,3,3,3,4,2,3
370,370,Nie,4,5,3,2,3,5,5,5,3,2,2,2,3,1,3,3,2,4,5,1,3
371,371,Nie,4,2,3,4,4,4,5,3,3,2,3,3,3,2,4,4,3,2,4,2,2
372,372,Tak,1,3,3,2,4,5,4,5,5,3,5,5,4,4,4,5,5,4,5,2,4
373,373,Tak,4,2,4,4,4,4,5,2,4,5,4,5,4,4,2,5,5,5,5,2,5
374,374,Tak,3,3,4,4,3,4,5,4,4,4,4,4,4,4,5,4,4,4,4,2,4
375,375,Tak,2,3,4,4,4,5,5,5,3,3,4,4,5,5,3,4,4,4,3,2,4
376,376,Tak,5,2,4,3,3,2,2,4,3,3,3,3,3,3,2,3,2,3,3,1,4
377,377,Nie,4,2,3,2,2,3,3,3,3,4,3,3,3,3,5,2,3,3,3,1,3
378,378,Tak,4,1,4,3,4,3,4,2,3,4,4,3,3,3,4,4,4,3,4,2,3
379,379,Tak,4,2,5,5,1,3,3,3,1,4,5,5,5,5,5,3,4,5,5,2,3
380,380,Nie,5,2,3,1,1,2,2,4,1,1,3,3,1,1,3,2,3,1,2,2,2
381,381,Nie,2,3,3,1,3,2,2,2,2,2,2,3,3,2,1,3,4,3,4,1,2
382,382,Nie,3,2,4,2,2,4,5,3,4,2,3,4,4,3,4,4,3,4,2,2,4
383,383,Nie ma to dla mnie znaczenia,3,2,4,3,5,5,5,1,3,3,3,3,5,3,5,1,4,3,5,2,4
384,384,Nie ma to dla mnie znaczenia,4,2,4,4,3,2,4,3,4,5,4,4,3,3,5,4,4,3,4,2,4
385,385,Nie ma to dla mnie znaczenia,1,2,3,3,2,2,2,3,2,1,3,3,3,3,3,3,3,2,3,2,3
386,386,Nie ma to dla mnie znaczenia,2,3,5,4,2,5,5,5,3,2,3,3,5,5,5,3,5,1,3,2,3
387,387,Nie ma to dla mnie znaczenia,2,2,3,4,2,2,4,2,2,2,3,3,3,3,3,4,3,2,3,2,3
388,388,Nie ma to dla mnie znaczenia,2,2,2,3,4,5,3,3,3,2,2,4,4,4,2,4,4,4,5,2,3
389,389,Nie,5,2,4,4,4,4,4,3,3,5,2,3,4,3,5,3,4,4,3,2,3
390,390,Tak,3,2,5,4,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,2,4
391,391,Tak,3,3,3,3,3,5,5,1,4,4,4,4,4,2,2,4,4,4,5,2,4
392,392,Nie ma to dla mnie znaczenia,2,2,4,4,5,4,4,4,5,1,3,4,3,3,4,4,5,5,4,2,4
393,393,Nie,2,2,3,2,2,3,3,3,2,2,3,3,5,5,4,2,4,2,4,2,4
394,394,Nie ma to dla mnie znaczenia,2,4,4,4,3,4,3,2,2,2,4,4,4,5,3,4,4,4,4,1,4
395,395,Tak,2,2,5,5,4,5,5,5,4,2,5,5,5,5,3,5,5,4,5,2,4
396,396,Nie ma to dla mnie znaczenia,1,3,3,3,2,3,5,3,1,1,3,3,1,2,3,2,4,3,4,2,3
397,397,Tak,4,2,3,2,3,3,3,2,4,4,4,4,3,3,4,4,4,4,4,2,3
398,398,Nie,1,2,4,5,1,2,4,3,3,3,3,3,3,3,3,3,3,3,3,2,5
399,399,Tak,5,2,5,4,4,5,5,5,4,3,5,4,4,3,4,4,5,4,5,2,5
400,400,Tak,4,2,4,4,4,4,4,4,5,3,4,4,5,5,4,4,4,4,4,2,4
401,401,Tak,3,3,5,5,4,5,5,2,5,2,5,5,4,5,5,5,5,5,4,2,4
402,402,Tak,3,2,4,4,4,4,2,4,4,2,3,4,3,3,5,4,4,4,4,2,3
403,403,Nie,3,3,5,5,3,5,5,5,4,5,5,4,4,3,5,4,5,5,5,1,5
404,404,Tak,4,3,5,4,2,3,4,4,4,2,4,4,4,4,5,3,4,4,4,2,4
405,405,Nie,1,1,1,1,3,4,4,4,4,1,1,1,3,2,2,1,2,1,3,2,2
406,406,Tak,3,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5
407,407,Nie ma to dla mnie znaczenia,2,2,4,3,1,4,4,4,3,2,3,3,5,2,4,4,5,3,5,2,5
408,408,Tak,5,4,5,3,3,4,3,2,5,5,5,4,4,4,5,5,5,5,5,2,4
409,409,Nie,2,2,4,4,2,2,3,3,4,2,4,4,2,2,5,3,4,2,3,2,3
410,410,Nie ma to dla mnie znaczenia,4,2,3,3,3,2,5,5,1,4,3,2,4,5,4,3,4,2,5,2,3
411,411,Nie ma to dla mnie znaczenia,3,2,3,3,3,5,5,5,3,3,4,4,3,1,4,4,4,4,4,1,4
412,412,Tak,3,3,4,4,3,5,5,1,4,3,4,4,4,4,2,4,4,4,4,2,3
413,413,Tak,4,2,4,4,2,3,3,3,4,4,3,4,4,4,5,5,5,4,3,2,5
414,414,Tak,2,2,5,4,3,5,5,5,4,5,5,5,4,4,5,5,5,5,4,2,4
415,415,Tak,3,2,4,5,4,5,5,5,4,3,4,4,4,3,4,4,4,3,4,2,4
416,416,Tak,3,3,5,2,1,4,4,3,3,4,4,4,4,3,4,3,4,4,4,2,3
417,417,Nie,1,2,3,3,2,3,3,3,1,2,3,2,3,1,3,3,1,1,5,2,2
418,418,Tak,4,2,5,5,4,5,5,4,4,2,5,5,4,5,5,4,5,4,4,2,5
419,419,Nie ma to dla mnie znaczenia,1,2,2,2,2,3,3,4,2,1,1,1,1,1,2,2,2,1,1,2,2
420,420,Nie,2,2,5,3,5,4,4,4,5,4,4,4,1,1,5,3,5,4,4,2,3
421,421,Tak,3,2,4,4,4,5,4,5,5,4,5,5,4,4,5,4,5,4,4,2,4
422,422,Tak,3,4,4,3,2,3,5,3,4,2,3,4,4,3,4,4,3,3,3,1,3
423,423,Nie ma to dla mnie znaczenia,3,2,5,4,3,5,5,4,4,4,4,5,4,4,5,4,5,5,4,2,5
424,424,Tak,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5
425,425,Nie,1,2,3,1,1,3,3,2,1,1,2,3,2,2,5,3,3,1,3,2,3
426,426,Nie,1,2,5,5,1,4,4,5,3,5,5,3,3,1,3,2,5,3,5,2,3
427,427,Tak,1,5,3,3,1,5,5,5,4,3,4,4,1,3,3,4,4,4,4,2,3
428,428,Tak,2,2,4,5,3,4,5,2,5,5,5,5,5,5,5,5,5,5,4,1,5
429,429,Tak,4,4,5,4,4,4,5,4,5,5,3,4,4,4,5,4,4,4,5,2,4
430,430,Tak,3,3,4,4,4,5,5,4,4,2,4,5,3,3,5,4,5,5,3,2,4
431,431,Nie,1,2,3,3,4,4,4,4,4,1,3,3,3,3,4,3,4,3,3,2,4
432,432,Nie ma to dla mnie znaczenia,4,3,4,4,3,4,3,2,4,3,3,4,2,2,2,3,3,4,4,2,4
433,433,Tak,2,2,4,4,4,5,5,5,3,4,4,4,4,4,5,4,5,5,4,2,4
434,434,Nie,2,2,3,2,3,4,4,4,2,2,3,3,3,4,3,3,3,3,3,2,2
435,435,Tak,5,2,4,4,5,4,2,3,1,5,4,4,2,2,5,3,4,4,3,2,4
436,436,Tak,4,2,4,4,3,5,4,4,4,3,4,4,4,4,4,5,5,5,4,2,4
437,437,Nie ma to dla mnie znaczenia,4,1,4,3,3,4,4,4,5,4,4,5,4,4,2,5,5,5,4,2,4
438,438,Nie,1,3,3,2,4,5,5,5,2,1,2,2,4,4,5,3,4,2,4,2,2
439,439,Tak,3,3,5,5,4,4,4,4,5,4,5,5,4,4,4,5,5,4,4,2,4
440,440,Tak,2,2,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,2,1
441,441,Nie,4,2,4,5,5,2,2,2,1,1,5,2,1,3,3,2,1,2,2,2,3
442,442,Tak,4,2,4,4,2,5,5,5,5,3,4,4,5,3,5,3,4,4,5,2,4
443,443,Nie ma to dla mnie znaczenia,3,5,5,4,3,5,5,4,4,4,3,4,4,4,5,3,4,4,4,2,2
444,444,Nie,1,2,4,4,4,3,3,4,3,5,3,3,4,2,2,3,3,3,3,2,1
445,445,Tak,3,2,4,4,2,5,5,5,3,2,3,4,4,4,5,3,4,3,4,2,5
446,446,Nie,5,1,4,1,2,2,1,2,3,4,3,3,4,4,2,1,4,1,4,2,2
447,447,Nie ma to dla mnie znaczenia,1,1,1,1,1,2,2,2,1,1,1,3,1,1,1,1,1,1,1,2,2
448,448,Nie ma to dla mnie znaczenia,1,2,4,2,5,2,3,4,4,5,2,3,5,3,2,3,4,3,4,1,4
449,449,Nie ma to dla mnie znaczenia,2,3,4,3,2,4,3,2,2,2,2,4,3,3,4,3,5,3,4,2,3
450,450,Nie,3,2,4,3,1,4,3,3,1,4,4,3,3,3,3,3,3,2,4,2,3
451,451,Tak,4,4,5,3,4,4,5,3,4,4,5,5,5,5,5,4,5,3,4,1,4
452,452,Nie,1,2,3,2,5,4,5,5,4,3,3,2,4,4,3,3,3,3,4,1,4
453,453,Tak,2,2,3,3,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,2,2
454,454,Tak,5,2,5,4,3,2,2,2,2,2,2,2,1,4,5,2,3,3,2,2,2
455,455,Tak,4,1,4,4,2,5,4,5,5,3,4,4,3,3,5,4,5,4,4,2,4
456,456,Tak,2,2,5,5,3,5,4,5,4,4,4,4,4,3,3,4,5,5,5,2,4
457,457,Nie,3,2,5,3,1,5,5,4,4,3,2,4,4,3,5,4,5,4,5,2,3
458,458,Tak,2,3,5,4,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,1,3
459,459,Nie ma to dla mnie znaczenia,3,2,4,4,3,5,5,5,4,3,4,4,3,3,5,4,4,4,4,2,3
460,460,Nie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
461,461,Tak,3,2,4,4,3,5,5,5,4,3,5,4,4,4,3,5,4,4,4,1,4
462,462,Nie,4,2,4,3,2,5,5,5,4,4,3,4,3,2,3,4,4,4,4,2,3
463,463,Nie,2,2,3,2,5,4,3,4,2,3,4,3,4,3,5,3,4,2,3,2,3
464,464,Tak,3,2,4,3,2,4,5,5,5,3,4,4,4,3,5,5,4,4,5,2,4
465,465,Nie,3,3,4,3,1,3,4,3,2,2,2,3,3,3,5,3,5,1,3,2,3
466,466,Nie ma to dla mnie znaczenia,3,1,3,2,2,2,2,3,3,3,3,4,3,3,3,4,4,4,4,2,3
467,467,Nie,2,5,4,4,3,5,5,4,4,4,5,5,5,4,5,4,2,4,5,2,3
468,468,Tak,3,2,4,2,2,5,5,5,4,4,4,5,4,4,5,5,3,4,4,2,2
469,469,Tak,3,2,4,4,3,5,3,3,4,2,1,5,2,2,5,5,5,4,4,2,3
470,470,Nie ma to dla mnie znaczenia,2,2,4,3,4,4,4,4,5,3,4,4,3,3,4,4,4,4,5,1,4
471,471,Nie,4,1,4,2,4,4,3,4,2,1,2,3,3,3,4,4,4,5,4,2,2
472,472,Nie,1,2,4,2,1,3,2,3,2,1,2,2,4,4,5,3,3,1,3,2,1
473,473,Nie,1,2,4,2,1,3,2,3,2,1,2,2,4,4,5,3,3,1,3,2,1
474,474,Tak,3,2,5,4,4,4,5,5,5,5,4,4,5,3,5,5,4,5,5,1,4
475,475,Tak,3,2,5,4,4,3,5,5,4,4,4,4,4,4,2,5,5,5,5,2,4
476,476,Tak,3,2,4,2,4,5,4,4,4,3,4,4,5,5,4,4,4,4,4,2,3
477,477,Nie ma to dla mnie znaczenia,4,2,4,4,3,5,5,5,3,3,3,3,4,2,4,3,4,4,4,2,3
478,478,Tak,2,3,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,1,5
479,479,Tak,3,2,5,5,4,4,4,4,5,3,4,5,5,5,5,5,5,5,5,1,5
480,480,Nie,3,3,4,4,1,1,1,1,1,3,1,3,2,4,5,1,3,1,1,2,1
481,481,Tak,5,2,4,5,1,2,3,2,3,2,5,4,3,4,4,4,5,4,3,2,4
482,482,Nie,3,2,3,4,4,3,4,3,3,2,3,3,3,3,4,3,3,4,4,2,2
483,483,Tak,4,3,4,3,4,2,2,3,5,5,5,4,2,5,5,4,4,5,3,2,5
484,484,Nie ma to dla mnie znaczenia,3,2,5,4,3,2,2,3,3,3,4,4,1,1,5,4,5,4,4,2,3
485,485,Nie ma to dla mnie znaczenia,4,3,3,4,4,4,4,2,4,3,3,3,4,4,5,4,3,4,4,2,4
486,486,Tak,3,2,5,4,4,5,3,1,5,3,4,4,4,2,5,4,4,5,5,2,3
487,487,Tak,3,3,3,3,4,5,4,5,3,3,3,3,3,3,5,3,4,5,3,1,4
488,488,Nie ma to dla mnie znaczenia,2,2,3,3,5,5,5,2,3,2,3,3,4,1,5,3,3,3,3,1,3
489,489,Tak,3,3,3,3,4,5,4,5,3,3,3,3,3,3,5,3,4,5,3,1,4
490,490,Nie,4,1,3,2,3,2,4,3,3,3,2,3,3,2,4,3,3,3,3,2,3
491,491,Tak,3,3,4,4,4,5,5,5,4,4,4,4,5,4,5,4,4,3,4,1,4
492,492,Tak,3,2,4,4,5,5,5,5,4,4,4,5,3,3,5,4,4,4,4,2,4
493,493,Tak,3,2,4,4,2,4,5,5,5,3,4,3,2,2,4,5,5,3,4,2,4
494,494,Tak,3,3,5,4,4,5,5,5,4,4,5,5,4,4,4,4,4,4,4,2,4
495,495,Tak,4,2,5,4,4,3,5,5,5,5,5,5,4,4,5,5,4,5,5,1,5
496,496,Tak,3,3,5,5,4,5,5,4,5,4,3,5,4,4,4,4,4,4,4,1,4
497,497,Nie,1,2,3,1,3,3,3,3,1,1,1,1,1,3,5,3,3,2,3,2,3
498,498,Nie,2,2,4,3,3,2,3,3,4,1,3,4,4,5,5,4,4,4,4,2,4
499,499,Nie ma to dla mnie znaczenia,4,2,5,3,3,5,5,5,4,4,3,4,4,3,5,3,5,3,4,2,4
500,500,Nie ma to dla mnie znaczenia,2,1,3,2,5,5,5,3,3,3,3,5,3,3,5,5,5,5,4,1,1
501,501,Tak,3,3,3,3,4,5,4,5,3,3,3,3,3,3,5,3,4,5,3,1,4
502,502,Nie ma to dla mnie znaczenia,2,1,3,2,5,5,5,3,3,3,3,5,3,3,5,5,5,5,4,1,1
503,503,Nie,2,2,4,3,4,4,4,5,4,2,5,4,1,1,5,4,3,4,4,2,3
504,504,Tak,4,2,3,4,3,4,5,4,4,5,5,3,4,4,5,4,4,3,4,2,4
505,505,Tak,4,2,4,5,4,5,4,5,4,2,4,4,4,4,5,3,3,3,4,2,4
506,506,Tak,3,2,4,4,3,4,4,5,4,4,4,4,4,3,5,4,4,4,4,1,4
507,507,Nie ma to dla mnie znaczenia,1,2,3,4,2,4,5,4,2,2,3,4,4,4,5,3,4,4,3,2,5
508,508,Tak,4,2,4,4,3,5,4,5,5,4,4,5,3,3,5,5,5,4,4,2,4
509,509,Tak,2,2,4,2,5,5,3,5,3,3,3,3,3,1,5,3,3,2,3,1,5
510,510,Nie,4,3,4,3,1,5,5,5,2,2,3,4,2,2,3,4,3,2,3,2,3
511,511,Tak,3,2,4,4,3,5,5,5,4,4,4,3,4,4,4,5,4,5,4,2,5
512,512,Nie,2,2,2,2,4,3,3,2,1,2,3,1,4,5,5,4,2,3,3,2,1
513,513,Tak,3,2,5,5,4,5,5,4,5,3,5,5,5,5,5,5,5,4,4,1,3
514,514,Tak,2,3,3,2,1,3,3,4,2,2,4,3,2,2,5,3,4,5,3,2,1
515,515,Nie ma to dla mnie znaczenia,4,2,3,2,2,1,3,5,2,4,3,2,5,5,3,2,2,2,4,2,3
516,516,Nie,2,2,2,2,4,3,3,2,1,2,3,1,4,5,5,4,2,3,3,2,1
517,517,Tak,3,3,5,5,4,4,3,3,4,3,4,4,3,3,3,3,3,5,4,2,3
518,518,Nie ma to dla mnie znaczenia,3,2,3,4,2,3,3,3,1,3,2,4,2,3,5,4,4,3,3,2,4
519,519,Nie,1,2,3,3,3,2,3,3,3,1,2,4,4,4,3,3,4,4,3,2,3
